"Any other remarks, noteworthy effort that should go in the records.","Otras observaciones, que deben ir en los registros.",
"Details of Sponsor (Name, Location)","Detalles del Patrocinador (Nombre, Ubicación)",
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Si se marca, el número total de días trabajados incluirá los dias feriados, y este reducirá el salario por día.",
"If checked, hides and disables Rounded Total field in Salary Slips","Si está marcado, oculta y deshabilita el campo Total redondeado en los recibos de salario",
"If checked, the full amount will be deducted from taxable income before calculating income tax without any declaration or proof submission.","Si está marcado, el monto total se deducirá de la renta imponible antes de calcular el impuesto sobre la renta sin ninguna declaración o presentación de prueba.",
"If enabled, Tax Exemption Declaration will be considered for income tax calculation.","Si está habilitada, la Declaración de exención de impuestos se considerará para el cálculo del impuesto sobre la renta.",
"If enabled, the component will be considered as a tax component and the amount will be auto-calculated as per the configured income tax slabs","Si está habilitado, el componente será considerado como un componente tributario y el monto se calculará automáticamente según las franjas configuradas del impuesto sobre la renta",
"If enabled, the component will be considered in the Income Tax Deductions report","Si está habilitado, el componente será considerado en el informe de Deducciones del Impuesto sobre la Renta",
"If enabled, the component will not be displayed in the salary slip if the amount is zero","Si está habilitado, el componente no se mostrará en el recibo de sueldo si el monto es cero",
"If enabled, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted.","Si está habilitado, el valor especificado o calculado en este componente no contribuirá a los ingresos o deducciones. Sin embargo, su valor puede ser referenciado por otros componentes que pueden ser añadidos o deducidos",
"If not checked, the list will have to be added to each Department where it has to be applied.","Si no está marcada, la lista tendrá que ser añadida a cada departamento donde será aplicada.",
"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ","Si se selecciona, el valor especificado o calculado en este componente no contribuirá a las ganancias o deducciones. Sin embargo, su valor puede ser referenciado por otros componentes que se pueden agregar o deducir.",
"Job profile, qualifications required etc.","Perfil laboral, las cualificaciones necesarias, etc",
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","La licencia no puede asignarse antes de {0}, ya que el saldo de permiso ya se ha arrastrado en el futuro registro de asignación de permisos {1}.",
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","La licencia no puede aplicarse o cancelarse antes de {0}, ya que el saldo de permiso ya se ha arrastrado en el futuro registro de asignación de permisos {1}.",
"Partially Sponsored, Require Partial Funding","Parcialmente Patrocinado, Requiere Financiación Parcial",
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Salario ya procesado para el período entre {0} y {1}, Deja período de aplicación no puede estar entre este intervalo de fechas.",
"Skipping Salary Structure Assignment for the following employees, as Salary Structure Assignment records already exists against them. {0}","Omitir la asignación de estructura salarial para los siguientes empleados, ya que los registros de asignación de estructura salarial ya existen en su contra. {0}",
"Start and end dates not in a valid Payroll Period, cannot calculate {0}","Las fechas de inicio y finalización no están en un período de nómina válido, no se puede calcular {0}",
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.","Las fechas de inicio y final no están en un Período de cálculo de la nómina válido, no pueden calcular {0}.",
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","El recibo de salario enviado por correo electrónico al empleado estará protegido por contraseña, la contraseña se generará en función de la política de contraseña.",
